Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
99570,38187,58,765,Grade 5,0,1,0
434709,182763,57,0,High School Graduate,18000,6,2
954556,177294,66,1010,Second Year College,0,4,2
1838084,204500,55,6158,Engineering and Engineering Trades Programs,150540,5,2
249364,67736,58,0,Business and Administration Programs,0,1,0
1045338,214662,48,0,Engineering and Engineering Trades Programs,23798,4,3
352549,127801,45,2550,Third Year High School,1690,7,3
433531,106044,43,450,Teacher Training and Education Sciences Programs,0,2,1
246668,165285,37,2910,Third Year College,4950,4,0
63121,28860,76,0,Grade 2,0,2,1
122113,65829,41,0,High School Graduate,3500,1,1
159488,118449,27,690,Transport Services Programs,5114,3,1
342885,115187,60,1111,First Year High School,0,5,2
331040,152802,63,0,First Year College,7500,8,2
550551,192888,62,2400,Teacher Training and Education Sciences Programs,0,4,3
203046,138517,37,7500,High School Graduate,55540,5,0
86831,61068,35,1820,Elementary Graduate,590,10,2
172947,68810,46,360,Second Year High School,13014,11,1
12911,15909,51,48,Elementary Graduate,0,1,0
85056,53483,50,330,Elementary Graduate,8000,8,2
33533,31019,65,145,Elementary Graduate,0,2,1
69731,44969,47,375,Grade 4,0,3,1
276026,195392,52,520,First Year High School,22400,17,5
38032,29794,71,0,First Year High School,0,2,0
194694,101359,64,260,Elementary Graduate,3975,9,1
186193,28365,61,0,High School Graduate,0,2,1
268038,99371,66,540,Second Year High School,30350,8,2
200733,78813,73,0,Business and Administration Programs,0,3,0
102150,64054,55,390,Elementary Graduate,1100,5,1
114560,68400,90,260,Grade 2,0,10,2
150737,79795,47,600,Third Year High School,23410,7,1
348449,93915,61,78,Engineering and Engineering Trades Programs,0,3,1
174584,77018,46,180,Engineering and Engineering trades Programs,32000,3,0
519251,87431,58,70,Business and Administration Programs,57400,2,2
241734,80992,63,2040,Engineering and Engineering Trades Programs,50580,4,0
304895,122656,38,0,Computing/Information Technology Programs,1490,4,1
492460,131786,70,2616,Second Year College,0,4,0
555644,130254,53,0,Elementary Graduate,2040,7,3
176085,74114,28,190,High School Graduate,760,6,1
578556,148985,53,2110,Second Year College,2002,7,3
456710,137321,59,0,Elementary Graduate,0,6,4
282340,72487,62,0,High School Graduate,0,1,0
558550,155218,43,510,Elementary Graduate,11480,6,3
152849,102680,38,0,Grade 4,1350,5,1
200844,77466,55,0,Third Year High School,0,6,3
149043,122561,47,6335,High School Graduate,11804,8,2
589623,88854,56,13720,Elementary Graduate,0,1,0
265662,179192,58,0,Grade 3,660,10,2
78803,24239,60,0,High School Graduate,0,1,0
369790,143372,60,9412,Grade 4,1800,7,2
416124,65192,63,0,Second Year College,580,1,1
43862,33818,68,0,Second Year High School,330,2,0
157754,66766,42,1850,Elementary Graduate,3055,9,2
381868,121473,47,0,Engineering and Engineering Trades Programs,47734,5,1
343964,141339,54,480,Second Year College,1800,10,2
462100,118629,58,4930,Third Year College,38300,4,1
1316210,227030,53,2227,Grade 3,0,13,8
219511,52763,78,0,High School Graduate,1430,2,0
169348,74867,43,240,Third Year High School,1780,5,2
164048,76340,55,0,Engineering and Engineering trades Programs,1370,6,1
255300,105875,25,1950,Computing/Information Technology Programs,0,1,1
831906,280329,71,0,Third Year College,3275,17,3
531092,153381,52,0,High School Graduate,11830,9,4
312865,119992,43,5460,Grade 2,1327,11,1
170344,100462,56,159,Engineering and Engineering Trades Programs,12200,3,0
157531,64928,53,980,First Year College,0,2,1
81200,56516,35,1800,High School Graduate,0,2,0
694137,128631,44,5490,Elementary Graduate,48200,6,3
182106,97541,35,480,High School Graduate,2175,4,1
341771,152018,65,2700,First Year College,11600,3,1
456605,114225,84,0,Elementary Graduate,44,6,1
169676,47044,70,360,Second Year High School,0,2,1
259352,163425,55,4550,Elementary Graduate,0,8,2
331584,603297,50,0,High School Graduate,47300,7,3
256440,69985,38,170,High School Graduate,3450,4,0
85902,27771,78,0,Elementary Graduate,0,2,0
58230,33069,63,0,Grade 2,0,2,1
175734,119388,36,1575,Elementary Graduate,2069,8,1
144682,83719,35,760,Second Year High School,1388,6,1
285874,147120,43,4160,Social and Behavioral Science Programs,150,3,1
970611,152518,58,1470,Third Year High School,865,5,1
174633,87958,41,1768,High School Graduate,1740,5,2
414775,91985,45,1690,Elementary Graduate,1372,7,1
158243,95550,42,990,First Year High School,1835,5,1
186060,110150,34,4290,High School Graduate,15000,3,1
101921,80331,66,0,Second Year High School,16600,4,2
103748,68743,41,1890,Elementary Graduate,4295,4,2
195416,111832,50,2100,Elementary Graduate,4345,5,3
200152,60788,36,2550,Third Year College,19950,4,1
489770,95752,36,592,First Year High School,65860,2,0
362500,105587,59,450,Third Year College,0,1,2
371309,134723,49,5100,First Year High School,17030,5,2
917867,236605,64,5400,Health Programs,0,4,2
530010,86701,66,0,Teacher Training and Education Sciences Programs,9000,4,2
1183983,225907,45,0,Social and Behavioral Science Programs,45500,4,3
741501,127113,50,420,Post Baccalaureate,46600,3,1
180740,68427,72,210,Elementary Graduate,100,4,2
117316,34219,30,0,Health Programs,0,1,1
260370,106726,58,0,Elementary Graduate,500,5,1
181542,90208,34,897,First Year College,1028,5,2
158803,98728,55,3900,Grade 4,0,5,2
274756,99813,48,1950,High School Graduate,0,7,3
224800,79692,37,1170,Grade 3,588,4,2
124280,37038,36,0,Third Year High School,770,2,1
390749,134903,71,0,Second Year College,60,7,2
390657,157625,49,288,Business and Administration Programs,71840,4,0
275180,165887,41,0,Engineering and Engineering trades Programs,23000,5,0
481868,162836,47,0,First Year College,9500,4,1
194857,32862,32,0,Fourth Year College,0,1,1
4942530,213265,50,0,High School Graduate,36870,8,0
171979,58660,61,2470,Elementary Graduate,0,2,1
594200,221412,50,0,High School Graduate,75000,4,0
1308645,174516,65,1494,Elementary Graduate,20856,11,3
271988,65325,82,0,High School Graduate,0,3,0
220280,69101,30,0,Second Year High School,0,1,0
123423,39096,39,504,Second Year High School,0,2,2
114218,59631,53,840,Grade 5,5530,2,1
161582,114213,42,4320,Third Year High School,5629,6,1
369138,74667,34,0,Computing/Information Technology Programs,0,4,1
72353,35864,35,0,High School Graduate,0,2,0
189840,114881,46,958,First Year Post Secondary,5330,5,1
244144,122356,48,210,First Year College,36750,6,0
360270,128285,37,228,Second Year College,79100,6,0
622784,108326,63,2595,Business and Administration Programs,1800,5,3
60585,34968,49,160,High School Graduate,130,4,1
161018,76636,39,0,High School Graduate,2280,4,1
98660,44913,40,133,Elementary Graduate,1200,6,2
314978,113083,57,285,Grade 4,1750,11,3
207570,86687,40,420,Elementary Graduate,856,4,1
132000,51347,38,1605,Elementary Graduate,0,1,1
177396,109819,53,3880,Grade 4,3207,6,0
216402,88196,34,1125,First Year High School,0,7,2
297752,80180,41,750,High School Graduate,25600,3,2
257578,97056,47,360,Third Year High School,1820,4,1
148180,91705,58,690,Second Year High School,2650,4,2
730930,197782,55,500,Business and Administration Programs,0,3,1
236230,85635,35,110,First Year College,2650,4,1
212050,73478,24,255,High School Graduate,1050,3,1
260568,90606,34,0,High School Graduate,2800,3,1
460280,69319,38,900,Transport Services Programs,5065,3,1
196220,236452,39,0,High School Graduate,8546,8,0
149095,51546,77,0,Elementary Graduate,150,5,2
170126,110107,57,360,Grade 3,1579,8,4
98878,81489,49,660,Grade 1,1800,8,2
201986,65400,48,4680,Grade 3,1770,7,2
107739,56128,53,650,High School Graduate,2030,4,1
244747,89328,68,0,Grade 3,3206,6,0
232877,119824,54,720,Grade 3,2930,8,2
107832,60526,51,1990,First Year High School,3030,5,1
121543,52341,57,840,First Year High School,0,2,1
105155,55620,34,10,Grade 5,750,3,1
314821,82014,58,3340,Grade 3,0,2,0
326117,53484,53,7401,Elementary Graduate,0,3,1
198917,41270,60,94,Grade 1,320,5,1
95673,53023,38,1320,Grade 4,0,4,1
310440,102370,48,2162,Elementary Graduate,0,6,5
256559,115877,41,1440,Second Year College,31241,3,1
261870,111961,50,1564,Grade 3,750,8,4
63610,34119,53,1020,Second Year High School,385,1,1
213948,110534,49,0,High School Graduate,100,3,2
112300,54950,28,420,Grade 5,0,3,1
262320,127786,55,1040,Teacher Training and Education Sciences Programs,0,5,2
804948,175423,52,0,Business and Administration Programs,85950,6,2
177857,63081,61,936,Grade 3,0,5,2
278349,112251,65,1820,Grade 4,18400,7,3
283644,102493,61,300,Grade 5,0,5,2
226250,68675,51,773,Third Year College,0,2,0
266680,102967,43,1160,Second Year High School,1380,7,4
180985,136809,39,1399,High School Graduate,200,5,1
141413,60769,65,2480,Grade 4,0,4,2
456979,119519,55,80,Teacher Training and Education Sciences Programs,0,4,3
391855,78620,74,160,Health Programs,18000,5,2
747904,151798,57,1105,Teacher Training and Education Sciences Programs,350,5,4
351900,84355,35,234,High School Graduate,38240,2,0
595438,154579,54,0,Transport Services Programs,10200,5,4
710536,125193,50,5850,Post Baccalaureate,0,1,1
429100,113372,31,0,Business and Administration Programs,0,5,2
118082,40775,50,480,Third Year High School,0,2,2
215717,66041,50,140,Elementary Graduate,0,5,4
671261,98211,44,0,Social and Behavioral Science Programs,6000,3,2
420424,167305,49,1268,Security Services Programs,10250,5,1
727146,368470,84,270,Teacher Training and Education Sciences Programs,20066,4,2
126557,62762,36,408,First Year High School,1150,9,1
107351,58692,69,0,Elementary Graduate,19000,2,1
209272,80094,39,0,Grade 5,9041,7,2
206717,68602,82,2218,Grade 6,0,8,1
194006,53230,55,0,Engineering and Engineering Trades Programs,0,3,2
236543,121039,44,720,Grade 6,9200,10,3
123506,69937,30,105,High School Graduate,475,4,1
148268,84967,43,76,High School Graduate,1940,6,2
915888,96322,75,0,Post Baccalaureate,0,2,1
153312,53238,40,1300,Second Year High School,230,4,1
183893,55320,62,0,Elementary Graduate,0,5,1
94378,71125,43,238,Grade 4,1000,8,0
124432,45090,27,622,Elementary Graduate,250,4,2
204763,75830,45,5910,Elementary Graduate,7200,7,1
80962,23080,21,0,Third Year College,15700,1,1
92688,87354,47,0,Engineering and Engineering Trades Programs,290,4,1
312886,130896,35,11285,High School Graduate,1073,5,1
351923,115684,37,1825,High School Graduate,1637,4,0
88061,131400,61,2288,Second Year High School,0,6,1
191905,74682,21,240,First Year College,39900,4,3
43548,15076,48,2340,Elementary Graduate,0,1,1
133969,54130,38,0,Second Year High School,48560,4,0
163873,69526,56,330,First Year High School,600,7,4
241785,53610,44,1680,High School Graduate,7102,4,1
368780,35155,74,0,Grade 1,0,2,1
180130,42745,22,0,Third Year College,30450,2,0
63998,28263,74,0,No Grade Completed,260,4,0
100719,62061,56,80,Grade 4,590,7,0
304884,80448,57,0,Grade 2,1000,11,1
143312,92225,35,420,Grade 4,3590,8,1
265090,112284,51,70,First Year High School,1652,8,2
164540,58026,75,0,No Grade Completed,0,6,2
128234,77760,54,468,Grade 2,22400,5,1
148170,66556,38,420,First Year High School,700,4,1
35028,41385,50,30,Grade 3,1690,5,0
126430,59853,47,140,High School Graduate,0,3,1
398590,122526,44,420,High School Graduate,45050,5,1
196840,129562,55,1950,High School Graduate,51250,7,1
118168,68243,34,330,High School Graduate,836,5,0
77940,40566,40,0,Grade 5,10800,3,1
160506,114907,42,0,High School Graduate,3350,9,1
99755,54804,29,750,First Year High School,610,4,2
707976,127443,43,0,Elementary Graduate,46789,6,2
308140,105668,40,2690,Grade 3,2705,6,2
157491,62868,57,595,Grade 4,586,5,2
115837,40781,42,2275,High School Graduate,2790,6,1
141051,39637,51,2202,Grade 5,27550,5,1
527909,62624,80,0,Grade 4,10000,2,1
131026,57650,65,0,Elementary Graduate,590,5,1
105397,68409,41,5883,Grade 5,10560,7,1
264418,43009,43,474,Grade 4,100950,5,1
175140,78505,70,1244,Grade 3,0,3,0
650056,114803,48,456,Elementary Graduate,81490,5,0
120825,49205,48,75,High School Graduate,0,2,1
47479,11039,75,0,Elementary Graduate,0,1,0
206919,57205,45,248,Grade 2,3250,7,2
169723,107522,39,747,Second Year High School,1393,9,2
157998,53089,35,1695,High School Graduate,38932,7,1
78793,29056,70,150,No Grade Completed,316,5,0
209556,88033,49,2962,Grade 5,0,7,2
311095,48725,45,1364,Grade 4,43824,8,4
145900,52578,42,23,High School Graduate,340,4,2
62552,45630,39,68,Grade 4,1372,7,2
360526,81732,35,3024,Second Year College,72,7,1
137187,36335,40,0,Business and Administration Programs,0,3,1
145896,61863,60,0,Elementary Graduate,0,2,0
57554,48881,48,0,No Grade Completed,400,7,1
367071,98404,46,1710,Third Year College,0,4,1
107751,67570,26,650,Second Year High School,0,2,1
268744,59819,68,1118,Grade 4,6980,7,2
106793,78477,58,5460,No Grade Completed,500,4,1
41635,35513,79,0,Grade 1,0,3,0
246752,82532,42,2690,Elementary Graduate,1139,8,3
166087,103196,44,1068,Grade 5,560,8,0
293095,53559,63,218,Grade 3,1288,4,2
623517,160056,42,420,Teacher Training and Education Sciences Programs,116200,4,1
114417,52549,36,0,Grade 4,4924,9,1
57011,23669,73,0,Elementary Graduate,1000,3,1
223594,75955,64,780,High School Graduate,892,8,2
140737,53145,28,1020,Elementary Graduate,1700,4,1
216165,81387,42,4540,High School Graduate,980,3,1
438718,100137,71,330,High School Graduate,10200,4,2
279703,78996,59,2895,Grade 5,1096,6,2
187439,108116,43,2164,Grade 3,1430,7,2
142605,72001,79,115,Elementary Graduate,1178,6,1
108974,33303,62,2175,Grade 5,650,4,1
54241,25831,59,3156,Grade 4,0,1,0
23547,23828,98,120,Grade 5,0,1,0
32681,29323,74,0,Grade 4,0,2,0
57597,49804,58,1210,Third Year High School,490,4,1
56901,49535,72,0,Elementary Graduate,1430,5,0
25642,12613,72,365,Elementary Graduate,0,1,0
61932,26356,63,0,Grade 4,0,2,1
218824,64097,48,2240,Elementary Graduate,0,4,2
151014,57122,72,845,Grade 4,360,5,1
43590,22715,73,1360,Grade 3,0,3,2
170726,34823,70,280,Elementary Graduate,0,2,1
75876,61703,45,1690,Elementary Graduate,150,5,0
325350,172288,57,5580,Grade 5,0,6,2
199355,127283,46,160,Elementary Graduate,6750,4,1
126168,91643,38,5060,Engineering and Engineering Trades Programs,1346,4,1
629507,108546,60,3000,Elementary Graduate,2100,4,1
82720,55508,52,1525,Grade 2,175,5,1
168220,111465,38,510,Elementary Graduate,11173,4,1
170880,45532,50,1020,Elementary Graduate,0,2,2
15086,13502,60,0,Grade 1,0,1,0
317346,69764,65,1090,Grade 2,0,5,4
273878,108170,32,1800,High School Graduate,1640,8,2
108363,74528,71,255,Elementary Graduate,150,9,3
626672,152511,26,0,Personal Services Programs,7000,3,2
80486,52692,58,650,Grade 4,400,4,1
41974,31978,40,0,Grade 2,400,8,1
59789,40863,58,30,Grade 5,2885,5,1
110654,55139,44,0,First Year High School,1500,7,1
160946,71042,56,0,Grade 5,970,3,0
75697,72047,57,0,Elementary Graduate,16600,7,1
588470,58228,61,1086,Grade 1,0,2,0
104049,62763,41,160,High School Graduate,5580,3,1
71320,44916,58,252,Grade 3,2402,4,0
56065,52068,71,506,Grade 1,0,3,1
121138,42591,69,1066,Grade 1,700,4,1
62645,25364,89,1446,No Grade Completed,0,1,0
120198,33247,79,942,Grade 4,0,3,2
165975,75391,31,775,High School Graduate,0,4,2
120928,67452,80,600,First Year College,550,4,1
130102,83370,31,0,High School Graduate,70,5,1
283048,63654,47,0,Business and Administration Programs,0,3,1
176190,86966,46,1635,Elementary Graduate,70,3,1
134650,56591,59,1350,Grade 6,925,3,2
796480,129956,57,545,Business and Administration Programs,0,2,2
357720,70417,48,9100,Second Year College,0,2,0
160157,60522,47,0,High School Graduate,0,3,3
146285,54234,74,0,Grade 4,0,2,0
82462,44018,54,0,Elementary Graduate,8300,3,1
188348,61356,73,705,Grade 3,0,2,1
72324,37421,54,360,Elementary Graduate,405,3,2
104416,43466,48,0,Second Year High School,760,5,2
261747,89612,44,1148,Grade 4,8600,7,3
125646,55947,41,1860,Elementary Graduate,270,4,2
78328,58185,53,205,High School Graduate,13700,4,0
190418,84588,44,630,High School Graduate,12762,5,1
185393,57579,37,790,Elementary Graduate,2780,8,1
59777,28401,78,0,Elementary Graduate,0,2,1
50086,24559,58,390,Elementary Graduate,0,1,0
96052,48762,53,2390,Grade 4,240,5,0
156425,81074,43,346,Grade 5,940,7,2
106061,48879,77,260,Grade 4,1370,4,0
43223,24381,57,0,No Grade Completed,0,2,1
93300,45713,50,1272,Second Year High School,1538,3,1
16888,17045,65,173,Grade 4,0,2,2
41446,30678,76,50,Grade 5,890,4,1
136277,29636,48,1080,Elementary Graduate,570,3,0
103784,27316,66,0,Grade 4,240,4,0
663746,72060,35,731,High School Graduate,3899,7,1
194302,32634,52,290,Elementary Graduate,3570,2,0
